t,x,y,z,sum,frame
9436,-1.96,9,,,762
9452,-0.98,16,,,764
9469,-2.94,17,,,766
9485,-5.88,16,,,767
9508,-5.88,23,,,768
9519,-5.88,11,,,769
9535,-7.84,16,,,771
9550,-7.84,15,,,773
9568,-9.8,18,,,774
9587,-12.74,19,,,776
9609,-17.64,22,,,777
9620,-19.6,11,,,778
9639,-25.48,19,,,780
9660,-31.36,21,,,781
9673,-32.34,13,,,782
9691,-38.22,18,,,784
9712,-47.04,21,,,785
9729,-56.84,17,,,787
9744,-64.68,15,,,788
9763,-72.52,19,,,790
9780,-76.44,17,,,792
9797,-76.44,17,,,793
9823,-67.62,26,,,794
9848,-53.9,25,,,795
9850,-51.94,2,,,797
9870,-41.16,20,,,799
9887,-34.3,17,,,801
9913,-29.4,26,,,802
9920,-30.38,7,,,803
9939,-24.5,19,,,805
9960,-22.54,21,,,807
9982,-17.64,22,,,808
9991,-15.68,9,,,810
10016,-10.78,25,,,812
10030,-10.78,14,,,814
10050,-7.84,20,,,815
10064,-7.84,14,,,816
10085,-3.92,21,,,817
10103,-2.94,18,,,818
10118,-1.96,15,,,819
10140,-1.96,22,,,820
10152,-2.94,12,,,822
10170,-1.96,18,,,823
10193,-0.98,23,,,824
10225,-0.98,32,,,825
10228,-0.98,3,,,826
10241,-0.98,13,,,827
10261,0,20,,,828
10275,0,14,,,829
10292,0,17,,,831
10309,-0.98,17,,,832
10336,0,27,,,834
10344,-1.96,8,,,835
10362,-0.98,18,,,836
10379,-0.98,17,,,838
10395,-1.96,16,,,839
10415,-1.96,20,,,840
10439,-3.92,24,,,842
10449,-2.94,10,,,844
10466,-3.92,17,,,845
10485,-3.92,19,,,846
10513,-5.88,28,,,847
10520,-5.88,7,,,848
10536,-6.86,16,,,850
10556,-6.86,20,,,852
10582,-10.78,26,,,853
10594,-12.74,12,,,854
10612,-15.68,18,,,855
10631,-14.7,19,,,856
10648,-16.66,17,,,857
10672,-16.66,24,,,859
10691,-17.64,19,,,861
10703,-17.64,12,,,862
10723,-16.66,20,,,863
10741,-11.76,18,,,864
10760,-10.78,19,,,865
10779,-6.86,19,,,866
10798,-5.88,19,,,868
10814,-4.9,16,,,870
10832,-2.94,18,,,871
10850,-2.94,18,,,873
10895,-2.94,45,,,874
10902,-0.98,7,,,875
10905,-0.98,3,,,876
10921,-0.98,16,,,877
10939,-0.98,18,,,879
10955,-0.98,16,,,880
10974,-0.98,19,,,882
10992,-0.98,18,,,884
11009,0.98,17,,,885
11030,-0.98,21,,,886
11045,-0.98,15,,,888
11061,0,16,,,889
11084,-1.96,23,,,891
11096,-0.98,12,,,892
11113,0,17,,,894
11128,-0.98,15,,,895
11148,-0.98,20,,,896
11172,-2.94,24,,,897
11190,-4.9,18,,,898
11199,-2.94,9,,,899
11224,-0.98,25,,,900
11235,-4.9,11,,,901
11254,-5.88,19,,,902
11270,-4.9,16,,,904
11292,-6.86,22,,,905
11307,-9.8,15,,,906
11329,-11.76,22,,,907
11343,-13.72,14,,,909
11366,-19.6,23,,,910
11381,-26.46,15,,,912
11400,-32.34,19,,,914
11418,-42.14,18,,,916
11437,-50.96,19,,,917
11456,-58.8,19,,,918
11474,-57.82,18,,,919
11493,-51.94,19,,,920
11514,-41.16,21,,,921
11534,-33.32,20,,,922
11550,-24.5,16,,,923
11568,-15.68,18,,,925
11586,-14.7,18,,,927
11610,-7.84,24,,,928
11623,-7.84,13,,,929
11640,-5.88,17,,,931
11664,-3.92,24,,,932
11674,-2.94,10,,,933
11697,-2.94,23,,,934
11712,-2.94,15,,,935
11736,-0.98,24,,,936
11747,-0.98,11,,,937
11764,-0.98,17,,,939
11791,0,27,,,940
11797,0,6,,,942
11816,-1.96,19,,,944
11832,-1.96,16,,,945
11850,-0.98,18,,,946
11872,-1.96,22,,,947
11884,-1.96,12,,,948
11904,-0.98,20,,,950
11920,-0.98,16,,,951
11949,-3.92,29,,,953
12057,-10.78,108,,,955
12060,-7.84,3,,,956
12073,-9.8,13,,,957
12075,-9.8,2,,,959
12077,-12.74,2,,,960
12082,-14.7,5,,,961
12100,-16.66,18,,,962
12120,-22.54,20,,,963
12139,-29.4,19,,,964
12158,-38.22,19,,,965
12176,-47.04,18,,,966
12194,-55.86,18,,,967
12221,-63.7,27,,,968
12233,-65.66,12,,,969
12259,-62.72,26,,,970
12270,-55.86,11,,,971
12290,-45.08,20,,,972
12306,-34.3,16,,,974
12324,-24.5,18,,,976
12343,-17.64,19,,,978
12362,-13.72,19,,,980
12381,-7.84,19,,,982
12398,-7.84,17,,,984
12416,-7.84,18,,,986
12434,-1.96,18,,,987
12464,-1.96,30,,,989
12474,-0.98,10,,,990
12489,-1.96,15,,,991
12506,-1.96,17,,,993
12522,-2.94,16,,,994
12556,-0.98,34,,,995
12557,-0.98,1,,,996
12578,-4.9,21,,,997
12593,-1.96,15,,,998
12614,-0.98,21,,,999
12630,-1.96,16,,,1001
12648,-0.98,18,,,1003
12673,-0.98,25,,,1004
12687,-1.96,14,,,1006
12707,-0.98,20,,,1008
12727,-6.86,20,,,1010
12744,-2.94,17,,,1012
12764,-4.9,20,,,1014
12779,-5.88,15,,,1015
12797,-4.9,18,,,1016
12816,-5.88,19,,,1017
12834,-7.84,18,,,1018
12854,-7.84,20,,,1019
12872,-9.8,18,,,1020
12891,-10.78,19,,,1021
12910,-10.78,19,,,1022
12932,-13.72,22,,,1024
12950,-12.74,18,,,1025
12972,-14.7,22,,,1026
12991,-15.68,19,,,1028
13011,-13.72,20,,,1029
13029,-13.72,18,,,1030
13048,-13.72,19,,,1031
13072,-12.74,24,,,1033
13088,-10.78,16,,,1035
13117,-5.88,29,,,1036
13135,-5.88,18,,,1037
13153,-3.92,18,,,1038
13170,-1.96,17,,,1040
13189,-2.94,19,,,1041
13201,-2.94,12,,,1042
13236,-1.96,35,,,1043
13240,-0.98,4,,,1045
13258,-1.96,18,,,1046
13277,-1.96,19,,,1048
13295,-1.96,18,,,1050
13315,-0.98,20,,,1052
13333,-1.96,18,,,1054
13351,-0.98,18,,,1056
13370,0.98,19,,,1058
13387,-0.98,17,,,1059
13406,0,19,,,1060
13425,0,19,,,1062
13443,0.98,18,,,1063
13462,0,19,,,1065
13476,0.98,14,,,1066
13498,0,22,,,1067
13513,0,15,,,1069
13531,0.98,18,,,1070
13547,0,16,,,1071
13568,0.98,21,,,1072
13586,0,18,,,1074
13601,-0.98,15,,,1075
13620,0.98,19,,,1076
13637,0,17,,,1078
13656,0.98,19,,,1080
13674,0,18,,,1081
13690,0.98,16,,,1083
13711,0,21,,,1085
13725,0,14,,,1086
13745,0.98,20,,,1087
13765,0,20,,,1088
13787,0,22,,,1089
13796,0,9,,,1090
13815,0.98,19,,,1092
13837,-1.96,22,,,1093
13851,1.96,14,,,1094
13869,0,18,,,1095
13886,0,17,,,1097
13907,0,21,,,1098
13928,0.98,21,,,1099
13939,1.96,11,,,1100
13958,-0.98,19,,,1101
13976,1.96,18,,,1102
13993,0.98,17,,,1103
14013,0.98,20,,,1104
14028,-0.98,15,,,1106
14048,1.96,20,,,1108
14064,0.98,16,,,1109
14084,-0.98,20,,,1110
14102,0.98,18,,,1111
14121,0.98,19,,,1113
14138,0,17,,,1115
14154,-0.98,16,,,1116
14173,0.98,19,,,1117
14191,0.98,18,,,1119
14217,0.98,26,,,1120
14226,0,9,,,1121
14243,0.98,17,,,1123
14265,0,22,,,1124
14306,0,41,,,1126
14308,0.98,2,,,1128
14315,0,7,,,1129
14337,0.98,22,,,1130
14360,0,23,,,1131
14371,0.98,11,,,1132
14385,-0.98,14,,,1133
14417,-0.98,32,,,1134
14423,-0.98,6,,,1135
14441,-0.98,18,,,1136
14459,0.98,18,,,1137
14479,3.92,20,,,1138
14502,-1.96,23,,,1139
14524,-0.98,22,,,1141
14533,1.96,9,,,1143
14552,1.96,19,,,1145
14568,1.96,16,,,1146
14586,0.98,18,,,1148
14606,-0.98,20,,,1150
14621,-0.98,15,,,1152
14648,0,27,,,1153
14659,0.98,11,,,1154
14675,2.94,16,,,1156
14695,0.98,20,,,1158
14714,0,19,,,1159
14730,1.96,16,,,1160
14754,1.96,24,,,1161
14768,0,14,,,1163
14782,0,14,,,1165
14800,0.98,18,,,1167
14818,0.98,18,,,1168
14838,-0.98,20,,,1169
14864,0.98,26,,,1171
14874,0,10,,,1173
14903,0.98,29,,,1174
14912,0.98,9,,,1175
14926,0.98,14,,,1177
14944,-0.98,18,,,1179
14962,0.98,18,,,1181
14980,0,18,,,1182
15025,0,45,,,1183
15027,-0.98,2,,,1184
15033,-0.98,6,,,1186
15051,0.98,18,,,1188
15071,1.96,20,,,1190
15087,0,16,,,1191
15109,0,22,,,1192
15127,0.98,18,,,1193
15141,0.98,14,,,1194
15160,0.98,19,,,1195
